registration_number,legal_name,trade_name,address,county,status,status_label,date_first_registered,date_registered_begins,registered_through,deleted_date,latitude,longitude
38484,365 HEALTH LLC,365 PHARMACY,6804 ALOMA AVE WINTER PARK FL 32792,,Active,Establishment Status,"September 25, 2020","September 25, 2020","August 31, 2023",,28.6052066,-81.2973138
31509,39TH STREET PHARMACY INC.,39TH STREET PHARMACY,3902 16TH AVE. BROOKLYN NY 11218,KINGS,Active,Establishment Status,"October 10, 2012","October 01, 2021","September 30, 2024",,40.636685,-73.98003400000002
31475,41 AVENUE PHARMACY LLC.,AA RX PHARMACY,136-33 37TH AVENUE UNIT 1A FLUSHING NY 11354,QUEENS,Active,Establishment Status,"September 06, 2012","September 01, 2021","August 31, 2024",,40.7622489,-73.8300064
32368,"4TH AVENUE PHARMACY, INC.",4TH AVENUE PHARMACY,5002 4TH AVE. BROOKLYN NY 11220,KINGS,Active,Establishment Status,"December 31, 2013","December 01, 2022","November 30, 2025",,40.6465069,-74.0129735
36680,50 OCEANA PHARMACY CORP.,OCEANA PHARMACY,3211 CONEY ISLAND AVE. BROOKLYN NY 11235-7058,KINGS,Active,Establishment Status,"June 15, 2018","June 01, 2021","May 31, 2024",,40.5774753,-73.9593845
24229,90-15 ROOSEVELT PHARMACY CORP.,MI FARMACIA,90-15 ROOSEVELT AVE. JACKSON HEIGHTS NY 11372,QUEENS,Active,Establishment Status,"February 08, 1999","March 01, 2022","February 28, 2025",,40.7486735,-73.87576969999999
28501,902 FOSTER CARE INC.,FIRST CARE PHARMACY,902 FOSTER AVENUE BROOKLYN NY 11230,KINGS,Active,Establishment Status,"August 22, 2007","August 01, 2022","July 31, 2025",,40.6313394,-73.9681752
28070,"A.F. HAUSER, INC.",,4401 E. US HIGHWAY 30 VALPARAISO IN 46383,,Active,Establishment Status,"September 26, 2006","August 01, 2021","July 31, 2024",,41.44775689999999,-87.0073992
38664,AALIF DRUGS INC.,AALIF PHARMACY,183-14 JAMAICA AVE. HOLLIS NY 11423,QUEENS,Active,Establishment Status,"April 19, 2021","April 19, 2021","March 31, 2024",,40.7086053,-73.77668539999999
28681,"ACTAVIS LABORATORIES FL, INC.",,13900 NW 2ND STREET SUNRISE FL 33325-6243,,Active,Establishment Status,"November 06, 2007","November 01, 2022","October 31, 2025",,26.1231,-80.33952359999999
38912,"ADVANCED PHARMACY CONCEPTS, LLC",MANIFEST PHARMACY,1018 S. BATESVILLE RD BLDG #4-A GREER SC 29650,,Active,Establishment Status,"July 13, 2021","July 13, 2021","June 30, 2024",,34.8700333,-82.249969
33994,"ADVANCED RX PHARMACY OF TENNESSEE, LLC",ADVANCED RX PHARMACY 060,1400 DONELSON PIKE SUITE A15 NASHVILLE TN 37217,,Active,Establishment Status,"October 14, 2015","October 01, 2021","September 30, 2024",,36.0976073,-86.6783647
38443,ADVANCED THERAPEUTICS OF LI LLC,ADVANCED THERAPEUTICS OF LI,3351 PARK AVE. WANTAGH NY 11793,NASSAU,Active,Establishment Status,"October 22, 2020","October 22, 2020","September 30, 2023",,40.674059,-73.508496
39235,ADVANTRA RX LLC,FRIENDSHIP PHARMACY,5530 WISCONSIN AVE #100 CHEVY CHASE MD 20815,,Active,Establishment Status,"March 17, 2022","March 17, 2022","February 28, 2025",,38.9650563,-77.08752659999999
37697,AEROFLOW INC,,65 BEALE ROAD ARDEN NC 28704,,Active,Establishment Status,"August 29, 2019","August 01, 2022","July 31, 2025",,35.4646637,-82.5278001
37963,"AFA PHARMACY, LLC",,8821 S SAM HOUSTON PKWY W STE 100 MISSOURI CITY TX 77489-1495,,Active,Establishment Status,"March 05, 2020","March 05, 2020","February 28, 2023",,29.6221803,-95.5150668
37903,AFAXYS PHARMA LLC,,7001 EAST BAY ST. STE 402 CHARLESTON SC 29403,,Active,Establishment Status,"January 09, 2020","January 01, 2023","December 31, 2025",,32.7920757,-79.9311461
39615,AFFORDABLE PHARMACEUTICALS LLC,,60 COLUMBIAN STREET WEST STE 200 BRAINTREE MA 02185,,Active,Establishment Status,"May 06, 2022","May 06, 2022","April 30, 2025",,42.1835889,-70.976783
34684,AFFORDABLE RX INC.,AFFORDABLE SCRIPT,177 ROCKAWAY AVENUE VALLEY STREAM NY 11580-5823,NASSAU,Active,Establishment Status,"June 22, 2016","June 01, 2022","May 31, 2025",,40.6618232,-73.69910190000002
22968,"AHG OF NEW YORK, INC.",ACCREDO,125 CLEARBROOK RD. SUITE 122 ELMSFORD NY 10523-1109,WESTCHESTER,Active,Establishment Status,"August 12, 1996","September 01, 2022","August 31, 2025",,41.0743657,-73.8147979
36455,AIDS HEALTHCARE FOUNDATION,AHF PHARMACY,19300 S. HAMILTON AVE. SUITE 170/180 GARDENA CA 90248-4400,,Active,Establishment Status,"February 23, 2018","February 01, 2021","January 31, 2024",,33.8548746,-118.285642
32721,AIDS HEALTHCARE FOUNDATION,AHF PHARMACY,700 SE 3RD AVE SUITE 100 FORT LAUDERDALE FL 33316,,Active,Establishment Status,"March 17, 2014","March 01, 1923","February 28, 2026",,26.1127603,-80.13954369999999
37471,AIDS HEALTHCARE FOUNDATION,AHF PHARMACY,655 MORRIS AVE. #2 BRONX NY 10451-4898,BRONX,Active,Establishment Status,"December 17, 2019","December 01, 2022","November 30, 2025",,40.8199522,-73.9218877
34104,AIDS HEALTHCARE FOUNDATION,AHF PHARMACY,161-21 JAMAICA AVE. FLOOR 7 JAMAICA NY 11432,QUEENS,Active,Establishment Status,"April 04, 2016","April 01, 2022","March 31, 2025",,40.704557,-73.7980226
32341,AIDS HEALTHCARE FOUNDATION,AHF PHARMACY,475 ATLANTIC AVE. BROOKLYN NY 11217,KINGS,Active,Establishment Status,"December 31, 2013","December 01, 2022","November 30, 2025",,40.6861264,-73.9820168
31438,AIDS HEALTHCARE FOUNDATION,AHF PHARMACY,619 MAIN STREET    . FARMINGDALE NY 11735-4100,NASSAU,Active,Establishment Status,"August 27, 2012","August 01, 2021","July 31, 2024",,40.7256746,-73.4426574
35731,AIDS HEALTHCARE FOUNDATION,AHF PHARMACY,2307 ASTORIA BLVD. ASTORIA NY 11102-2598,QUEENS,Active,Establishment Status,"November 17, 2017","November 01, 2020","October 31, 2023",,40.7718589,-73.92405819999999
35005,AIDS HEALTHCARE FOUNDATION,AHF PHARMACY,352 7TH AVE. RM  1206 NEW YORK NY 10001-5012,NEW YORK,Active,Establishment Status,"March 21, 2017","March 01, 1923","February 28, 2026",,40.7483388,-73.9929983
29445,AJIM INC,SHEEFA PHARMACY & WELLNESS CENTER,405 CENTRAL AVE EAST ORANGE NJ 07018,,Active,Establishment Status,"April 06, 2009","April 01, 2021","March 31, 2024",,40.7566035,-74.21816179999999
33373,AL SAFA AL MARWAH INC,NORWOOD CARE PHARMACY,3138 FULTON ST BROOKLYN NY 11208,KINGS,Active,Establishment Status,"February 12, 2015","February 01, 2021","January 31, 2024",,40.6814308,-73.8792259
30263,AL-SHIFA PHARMACY INC.,VISTA PHARMACY,236 BUSHWICK AVE. BROOKLYN NY 11206,KINGS,Active,Establishment Status,"August 16, 2010","August 01, 2022","July 31, 2025",,40.7074567,-73.9399877
36959,ALAFIYA PHARMACY LLC,,7820 5TH AVE. BROOKLYN NY 11209,NEW YORK,Active,Establishment Status,"September 19, 2018","September 01, 2021","August 31, 2024",,40.6268636,-74.0239713
34959,ALBANY COLLEGE OF PHARMACY & HEALTH SCIENCES,COLLEGE PARKSIDE PHARMACY,920 LARK DRIVE ALBANY NY 12207,ALBANY,Active,Establishment Status,"November 18, 2016","November 01, 2022","October 31, 2025",,42.6618937,-73.7481209
20,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES,,- C/O PHARMACY DEPT. 106 NEW SCOTLAND AVE. ALBANY NY 12208,ALBANY,Active,Establishment Status,"January 01, 1931","February 01, 2022","January 31, 2025",,42.6519665,-73.778582
34081,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES,COLLEGE HOMETOWN PHARMACY,1044 STATE STREET SCHENECTADY NY 12307,ALBANY,Active,Establishment Status,"December 29, 2015","December 01, 2021","November 30, 2024",,42.8011741,-73.9282207
38324,ALEGRIA HEALTH & WELLNESS PHARMACY CORP.,ALEGRIA PHARMACEUTICAL & INFUSION SERVICES,3475 3RD AVE BRONX NY 10456,BRONX,Active,Establishment Status,"November 10, 2021","November 10, 2021","October 31, 2024",,40.8301481,-73.90640739999999
23601,"ALEXANDER INFUSION, LLC",AVANTI HEALTH CARE SERVICES,C/O PHARMACY 75 NASSAU TERMINAL RD. SUITE 101 NEW HYDE PARK NY 11040,NASSAU,Active,Establishment Status,"March 31, 1998","April 01, 2022","March 31, 2025",,40.7343534,-73.67336569999999
35590,"ALFASIGMA USA, INC.",,2008 CLAIBORNE AVE SHREVEPORT LA 71103,,Active,Establishment Status,"July 07, 2017","July 01, 2020","June 30, 2023",,32.47966520000001,-93.7707384
19532,"ALFRED PHARMACY, INC.",,36 N. MAIN ST. ALFRED NY 14802,ALLEGANY,Active,Establishment Status,"September 01, 1987","October 01, 2022","September 30, 2025",,42.2550685,-77.7898427
11238,ALICE HYDE MEDICAL CENTER,UNIVERSITY OF VERMONT HEALTH NETWORK-,C/O PHARMACY 133 PARK STREET MALONE NY 12953,FRANKLIN,Active,Establishment Status,"April 04, 1966","May 01, 2022","April 30, 2025",,44.8572186,-74.2915929
38900,ALL FAMILY PHARMACY INC.,,7017 18TH AVE BROOKLYN NY 11204,KINGS,Active,Establishment Status,"June 28, 2021","June 28, 2021","May 31, 2024",,40.6157626,-73.9932987
38580,ALL FAMILY PHARMACY LLC,,3350 NW 2ND AVE STE A34 BOCA RATON FL 33431,,Active,Establishment Status,"November 24, 2020","November 24, 2020","October 31, 2023",,26.3807591,-80.08516519999999
37415,ALLCARE RX SOLUTIONS LLC,V-CARE PHARMACY OF RI,265 WATERMAN ST PROVIDENCE RI 02906,,Active,Establishment Status,"April 29, 2019","April 01, 2022","March 31, 2025",,41.8278802,-71.3854108
31390,ALLEGHENY HEALTH NETWORK HOME INFUSION,,VANTAGE HOME INFUSION THERAPY SERVICES 1305 SOUTH MAIN ST MEADVILLE PA 16335,,Active,Establishment Status,"June 12, 2012","June 01, 2021","May 31, 2024",,41.6280211,-80.1534121
25543,ALPINE APOTHECARIES INC.,PERFECT PHARMACY,524 SOUTH BROADWAY HICKSVILLE NY 11801,NASSAU,Active,Establishment Status,"December 02, 2002","January 01, 2023","December 31, 2025",,40.7552463,-73.50992269999999
24851,"ALSHAFA PHARMACY, INC.",WYANDANCH DRUGS,323 MERRITT AVE. WYANDANCH NY 11798,SUFFOLK,Active,Establishment Status,"December 13, 2000","January 01, 2023","December 31, 2025",,40.75459060000001,-73.36072539999999
24832,"AMERICAN OUTCOMES MANAGEMENT, L.P.",AOM INFUSION,36 WEST 37TH STREET 5TH FLOOR NEW YORK NY 10018,NEW YORK,Active,Establishment Status,"January 16, 2001","February 01, 2022","January 31, 2025",,40.7509738,-73.9850469
26967,"AMERICAN OUTCOMES MANAGEMENT, L.P.",AOM INFUSION,6310 SOUTHWEST BLVD SUITE 204 FORT WORTH TX 76109,,Active,Establishment Status,"September 30, 2004","September 01, 2022","August 31, 2025",,32.6921098,-97.4173728
25615,A & G PHARMACY INC.,,1216 NEPTUNE AVE. BROOKLYN NY 11224,KINGS,Active,Establishment Status,"March 18, 2003","April 01, 2022","March 31, 2025",,40.57896059999999,-73.98029509999999
29205,A&A DRUG COMPANY,SAV-RX PHARMACY,1855 N AIRPORT RD FREMONT NE 68025,,Active,Establishment Status,"October 23, 2008","October 01, 2020","September 30, 2023",,41.4460536,-96.5108648
35671,A&J COMPOUNDING INC.,JOHNSON COMPOUNDING & WELLNESS,577 MAIN STREET WALTHAM MA 02452,,Active,Establishment Status,"August 08, 2017","August 01, 2020","July 31, 2023",,42.3768638,-71.2341998
38493,"A&J ETHOS, INC",ETHOS COMPOUNDING PHARMACY,20 CABOT RD WOBURN MA 01801,,Active,Establishment Status,"October 06, 2020","October 06, 2020","September 30, 2023",,42.50854169999999,-71.1356492
38684,A2A INTEGRATED LOGISTICS INC,,1830 OWEN DR. STE 10-2 FAYETTEVILLE NC 28304,,Active,Establishment Status,"January 22, 2021","January 22, 2021","December 31, 2023",,35.0279101,-78.93021639999999
34683,AAA DRUGS INC.,,14373 243RD ST. ROSEDALE NY 11422-2339,QUEENS,Active,Establishment Status,"June 13, 2016","June 01, 2022","May 31, 2025",,40.6603661,-73.739086
33565,AAA DRUGS INC.,,14373 243RD STREET ROSEDALE NY 11422,QUEENS,Active,Establishment Status,"May 05, 2015","May 01, 2021","April 30, 2024",,40.6603661,-73.739086
37828,AAA GPO INC,VALLEY PHARMACY,79 ROOSEVELT AVE VALLEY STREAM NY 11581,NASSAU,Active,Establishment Status,"November 18, 2019","November 01, 2022","October 31, 2025",,40.6591747,-73.7039387
38676,AARNA PHARMA INC.,SUGAR HILL PHARMACY,752 SAINT NICHOLAS AVE. NEW YORK NY 10031,NEW YORK,Active,Establishment Status,"April 19, 2021","April 19, 2021","March 31, 2024",,40.8256565,-73.94312320000002
32388,ACCREDO HEALTH GROUP INC,,2825 W PERIMETER RD SUITE 112 INDIANAPOLIS IN 46214,,Active,Establishment Status,"December 09, 2013","December 01, 2022","November 30, 2025",,39.7224493,-86.3151259
31750,"ACCREDO HEALTH GROUP, INC",,2410 WARDLOW RD. STE 101 CORONA CA 92878-5192,,Active,Establishment Status,"January 15, 2013","January 01, 2022","December 31, 2024",,33.881352,-117.610633
31751,"ACCREDO HEALTH GROUP, INC",,422 GALLIMORE DAIRY RD SUITE A GREENSBORO NC 27409,,Active,Establishment Status,"January 15, 2013","January 01, 2022","December 31, 2024",,36.0708349,-79.9459375
31749,"ACCREDO HEALTH GROUP, INC",,39625 LEWIS DR STE 800 NOVI MI 48377,,Active,Establishment Status,"January 15, 2013","January 01, 2022","December 31, 2024",,42.5073351,-83.44091209999999
38251,"ACCREDO HEALTH GROUP, INC.",,11411 STRANG LINE RD STE A LENEXA MO 66215-4047,,Active,Establishment Status,"May 20, 2020","May 20, 2020","April 30, 2023",,38.9214874,-94.75868200000001
32418,"ACCREDO HEALTH GROUP, INC.",,6272 LEE VISTA BLVD. SUITE 100 ORLANDO FL 32822,,Active,Establishment Status,"December 09, 2013","December 01, 2022","November 30, 2025",,28.4644,-81.2982468
39051,"ACCREDO HEALTH GROUP, INC.",,4750 E 450 SOUTH STE A WHITESTOWN IN 46075,,Active,Establishment Status,"August 10, 2021","August 10, 2021","July 31, 2024",,39.9771313,-86.37916960000001
26974,"ACCREDO HEALTH GROUP, INC.",,41 RACHEL DR. STE. 1 NASHVILLE TN 37214,,Active,Establishment Status,"September 30, 2004","September 01, 2022","August 31, 2025",,36.1447476,-86.6737052
26628,37-17 UNION PHARMACY CORPORATION,UNION PHARMACY,36-32 UNION STREET FLUSHING NY 11354,QUEENS,Active,Establishment Status,"May 24, 2004","May 01, 2022","April 30, 2025",,40.7627963,-73.82794369999999
30499,"A & J PHARMACY, LLC.",,45 WEBSTER COMMONS BLVD. WEBSTER NY 14580-3813,MONROE,Active,Establishment Status,"January 11, 2011","January 01, 2023","December 31, 2025",,43.2086104,-77.4521426
35830,A.J.A.J. INC,WESTRIVER PHARMACY,66 MAIN ST. YONKERS NY 10701-2772,WESTCHESTER,Active,Establishment Status,"April 12, 2018","April 01, 2021","March 31, 2024",,40.93432230000001,-73.9014899
14795,A.J.K. PHARMACY INC.,REMSEN PHARMACY,8823 AVENUE L BROOKLYN NY 11236,KINGS,Active,Establishment Status,"November 04, 1974","December 01, 2022","November 30, 2025",,40.6349339,-73.9015916
35267,ACARE PHARAMCY LLC,JANNAT PHARMACY,72-03 35TH AVE. JACKSON HEIGHTS NY 11372-4005,QUEENS,Active,Establishment Status,"February 24, 2017","February 01, 2023","January 31, 2026",,40.750972,-73.893829
24469,AEN CORP.,JUNCTION BLVD PHARMACY,95-53 ROOSEVELT AVE. JACKSON HEIGHTS NY 11372,QUEENS,Active,Establishment Status,"February 09, 2000","March 01, 2022","February 28, 2025",,40.749298,-73.869975
26641,"AJ MEDICAL PRODUCTS, L.L.C.",,103 HORTON PLACE EAST SYRACUSE NY 13057,ONONDAGA,Active,Establishment Status,"August 27, 2004","August 01, 2022","July 31, 2025",,43.0673546,-76.0839349
32493,AJ'S RIDGEWOOD CHEMIST INC.,,68-19 FRESH POND RD. RIDGEWOOD NY 11385,QUEENS,Active,Establishment Status,"December 31, 2013","December 01, 2022","November 30, 2025",,40.7049295,-73.89592069999999
30124,AJ'S VILLAGE CHEMIST INC.,,74-05 METROPOLITAN AVE. MIDDLE VILLAGE NY 11379,QUEENS,Active,Establishment Status,"May 19, 2010","May 01, 2022","April 30, 2025",,40.7130816,-73.8780348
32640,AJANTA PHARMA USA INC,,ONE GRANDE COMMONS 440 US HWY 22 E SUITE 150 BRIDGEWATER NJ 08807,,Active,Establishment Status,"February 04, 2014","February 01, 2023","January 31, 2026",,40.5901977,-74.65045359999999
18218,AJANTA PHARMACY INC.,,2718 8TH AVE. NEW YORK NY 10030,NEW YORK,Active,Establishment Status,"July 20, 1984","August 01, 2022","July 31, 2025",,40.822358,-73.9418833
27851,"AJES PHARMACEUTICALS, LLC",,11-A LINCOLN STREET COPIAQUE NY 11726,SUFFOLK,Active,Establishment Status,"November 17, 2006","October 01, 2021","September 30, 2024",,40.6935659,-73.399973
35388,AJO GROUP INC.,AJ WOODHAVEN PHARMACY,62-04B WOODHAVEN BLVD. REGO PARK NY 11374,QUEENS,Active,Establishment Status,"April 13, 2017","April 01, 2020","March 31, 2023",,40.72667,-73.8708096
37957,"AJW PHARMACY, LLC",,354 HEMPSTEAD AVE WEST HEMPSTEAD NY 11552,NASSAU,Active,Establishment Status,"March 31, 2020","March 31, 2020","February 28, 2023",,40.6992434,-73.65098940000001
36568,ALLPHARMA INC,JUNCTION PHARMACY,2109 NOSTRAND AVE. BROOKLYN NY 11210-3001,KINGS,Active,Establishment Status,"June 02, 2018","June 01, 2021","May 31, 2024",,40.6338802,-73.9475777
37286,"ALMAJECT, INC.",,44 WHIPPANY ROAD SUITE 108 MORRISTOWN NJ 07960,,Active,Establishment Status,"April 10, 2019","April 01, 2022","March 31, 2025",,40.8010787,-74.4583816
22847,"AMI PHARMACY, INC.",ST. JESUS PHARMACY,4180 BROADWAY NEW YORK NY 10033,NEW YORK,Active,Establishment Status,"May 13, 1996","June 01, 2022","May 31, 2025",,40.8478979,-73.9375985
31035,ARDENT PHARMACY INC.,BENJAMIN'S PHARMACY & SURGICAL,987-989 ALLERTON AVE. BRONX NY 10469,BRONX,Active,Establishment Status,"December 20, 2011","December 01, 2020","November 30, 2023",,40.8657074,-73.85914009999999
39464,"ARJ INFUSION SERVICES, LLC",,7930 MARSHALL DRIVE LENEXA KS 66214,,Active,Establishment Status,"March 03, 2022","March 03, 2022","February 28, 2025",,38.985139,-94.707261
39466,"ARJ INFUSION SERVICES, LLC",,1847 1ST AVE. SE STE 100 CEDAR RAPIDS IA 52402,,Active,Establishment Status,"March 03, 2022","March 03, 2022","February 28, 2025",,41.9921513,-91.64453259999999
28804,ASF PHARMACY INC,PUNJAB PHARMACY,1018 CONEY ISLAND AVE. BROOKLYN NY 11230,KINGS,Active,Establishment Status,"May 07, 2008","May 01, 2020","April 30, 2023",,40.6326948,-73.9671367
39876,ATJ ENTERPRISE INC.,ROSEVIEW PHARMACY,1077 BAY STREET UNIT 6 STATEN ISLAND NY 10305,RICHMOND,Active,Establishment Status,"November 04, 2022","November 04, 2022","October 31, 2025",,40.6172195,-74.0674186
30417,AVE J ROYAL CARE PHARMACY LLC.,,1315 AVENUE J BROOKLYN NY 11230,KINGS,Active,Establishment Status,"December 23, 2010","December 01, 2022","November 30, 2025",,40.625269,-73.9627129
35657,BAL & DHAMIJA INC.,NEW YORK BLVD. PHARMACY,107-45 GUY R BREWER BLVD JAMAICA NY 11433,QUEENS,Active,Establishment Status,"August 04, 2017","August 01, 2020","July 31, 2023",,40.69713489999999,-73.7913743
30836,BALAJI II PHARMACY INC.,BALAJI PHARMACY,1726 MERMAID AVENUE BROOKLYN NY 11224,KINGS,Active,Establishment Status,"December 15, 2011","December 01, 2020","November 30, 2023",,40.5763261,-73.9855908
18478,BALAJI TARGEE PHARMACY CORP.,,519 TARGEE ST. STATEN ISLAND NY 10304,RICHMOND,Active,Establishment Status,"February 21, 1985","March 01, 2022","February 28, 2025",,40.6144732,-74.0844441
35728,BARNEGAT PHARMACY LLC,JERSEY SHORE PHARMACY,580 N MAIN ST. BARNEGAT NJ 08005,,Active,Establishment Status,"August 07, 2017","August 01, 2020","July 31, 2023",,39.7693538,-74.21183359999999
34406,BARTHS OF JAMESPORT INC,BARTHS PHARMACY,1491 MAIN ROAD JAMESPORT NY 11947,SUFFOLK,Active,Establishment Status,"May 09, 2016","May 01, 2022","April 30, 2025",,40.947649,-72.5849325
37589,BAY PHARMACY 19 INC,N&J PHARMACY,7306 AUSTIN STREET STORE 5 FOREST HILLS NY 11375,QUEENS,Active,Establishment Status,"July 23, 2019","July 01, 2022","June 30, 2025",,40.71818349999999,-73.8404018
33382,BEJAY PHARMACY INC,HEIGHTS SPECIALTY PHARMACY,450 BOULEVARD HASBROUCK HEIGHTS NJ 07604,,Active,Establishment Status,"February 03, 2015","February 01, 2021","January 31, 2024",,40.8696227,-74.07001149999999
19975,BENJAMIN PHARMACY CORP.,ELMHURST DRUGS,84-04 BROADWAY ELMHURST NY 11373,QUEENS,Active,Establishment Status,"October 24, 1988","November 01, 2022","October 31, 2025",,40.7397902,-73.87864619999999
31746,"BIOLOGICTX, LLC",BIOMATRIX SPECIALTY PHARMACY NJ,40D COMMERCE WAY TOTOWA NJ 07512,,Active,Establishment Status,"January 15, 2013","January 01, 2022","December 31, 2024",,40.9096635,-74.2360994
34782,C & J WELLNESS PHARMACY LLC,,1425 BROADWAY BROOKLYN NY 11221-4202,KINGS,Active,Establishment Status,"August 09, 2016","August 01, 2022","July 31, 2025",,40.6886969,-73.9198796
29725,"C&J'S NORTHSIDE PHARMACY, INC.",,2301 TEALL AVE. SYRACUSE NY 13206,ONONDAGA,Active,Establishment Status,"October 28, 2009","October 01, 2021","September 30, 2024",,43.0821232,-76.1250215
38467,CAPSULE NEW JERSEY LLC,CAPSULE PHARMACY,41 SPRING ST STE 105 NEW PROVIDENCE NJ 07974-1143,,Active,Establishment Status,"September 29, 2020","September 29, 2020","August 31, 2023",,40.67183139999999,-74.4305567
28617,"CAREMARK NEW JERSEY SPECIALTY PHARMACY, LLC",CVS/SPECIALTY,180 PASSAIC AVENUE FAIRFIELD NJ 07004,,Active,Establishment Status,"October 01, 2007","October 01, 2022","September 30, 2025",,40.8744519,-74.27279659999999
26098,"CAREMARK SRX, INC.",J & N PHARMACY,1220 MORRIS AVENUE BRONX NY 10456,BRONX,Active,Establishment Status,"September 16, 2003","October 01, 2022","September 30, 2025",,40.8333687,-73.9136846
35117,"COMMUNITY CARE RX NJ, INC.",,225 RTE. 46 WEST STE. 4 TOTOWA NJ 07512,,Active,Establishment Status,"July 14, 2017","July 01, 2020","June 30, 2023",,40.8945813,-74.2279337
37845,"COMMUNITY HEALTH PROJECT, INC",CALLEN-LORDE COMMUNITY PHARMACY,40 FLATBUSH AVE EXTENSION BROOKLYN NY 11201,KINGS,Active,Establishment Status,"May 05, 2020","May 05, 2020","April 30, 2023",,40.6973547,-73.9855748
29522,"COMMUNITY HEALTH PROJECT, INC.",,356 WEST 18TH ST. NEW YORK NY 10011,NEW YORK,Active,Establishment Status,"April 07, 2010","April 01, 2022","March 31, 2025",,40.7431877,-74.00311099999999
34049,"COMMUNITY HEALTH PROJECT, INC.",CALLEN-LORDE COMMUNITY PHARMACY,3144 THIRD AVENUE BRONX NY 10451,BRONX,Active,Establishment Status,"April 21, 2016","April 01, 2022","March 31, 2025",,40.8221038,-73.9104924
32626,CRJ PHARMACY LLC.,,1341 FULTON ST. BROOKLYN NY 11216,KINGS,Active,Establishment Status,"April 01, 2014","April 01, 2020","March 31, 2023",,40.68048539999999,-73.9475452
23822,DANIEL J HORN,DAN HORN PHARMACY & HEALTH SERVICES,DAN HORN PHARMACY & HEALTH SERVICES 111 EAST GREEN ST. OLEAN NY 14760,CATTARAUGUS,Active,Establishment Status,"November 16, 1998","December 01, 2022","November 30, 2025",,42.0738588,-78.4290401
32425,DARJEN INC.,ALLMEDRX SPECIALTY PHARMACY,11940 US HWY ONE STE 160 PALM BEACH GARDENS FL 33408,,Active,Establishment Status,"November 15, 2013","November 01, 2022","October 31, 2025",,26.8510981,-80.0583922
38562,DIGNITY HEALTH,ST. JOSEPH'S MCAULEY PHARMACY,500 W THOMAS RD STE 190 PHOENIX AZ 85013,,Active,Establishment Status,"November 10, 2020","November 10, 2020","October 31, 2023",,33.4817055,-112.080845
25159,DJ DRUG CORP.,FOREST HILLS PHARMACY,63-65 108TH ST FOREST HILLS NY 11375,QUEENS,Active,Establishment Status,"November 30, 2001","December 01, 2022","November 30, 2025",,40.7333465,-73.8495119
31926,DJ DRUGS & SURGICALS INC.,AHMA RX,2381 FREDERICK DOUGLAS BLVD. NEW YORK NY 10027,NEW YORK,Active,Establishment Status,"May 07, 2013","May 01, 2022","April 30, 2025",,40.81210799999999,-73.950141
37409,"DJO, LLC",,3300 EAGLE PARKWAY FORT WORTH TX 76177,,Active,Establishment Status,"April 08, 2019","April 01, 2022","March 31, 2025",,32.9982837,-97.28749230000001
37917,"DJO, LLC",,3151 SCOTT STREET VISTA CA 92081,,Active,Establishment Status,"November 18, 2019","November 01, 2022","October 31, 2025",,33.1371874,-117.2336396
